Category,Item,Quantity,Unit Price,Total
CANVAS,,,,
,Canvas 8x10,100,$3.50,$350.00
,Canvas 11x14,100,$5.00,$500.00
,Canvas 16x20,75,$8.50,$637.50
,Canvas 18x24,50,$11.00,$550.00
,CANVAS SUBTOTAL,,,,$2037.50
,,,,
PAPER,,,,
,Drawing Paper 9x12 (500 sheets),10,$25.00,$250.00
,Watercolor Paper 9x12 (100),20,$18.00,$360.00
,Mixed Media Paper 11x14 (100),15,$22.00,$330.00
,Cardstock Variety Pack,25,$15.00,$375.00
,PAPER SUBTOTAL,,,,$1315.00
,,,,
PAINT,,,,
,Acrylic Paint Set (24 colors),50,$28.00,$1400.00
,Tempera Paint Gallon (assorted),20,$12.00,$240.00
,Watercolor Sets (24 pan),50,$15.00,$750.00
,Oil Paint Set (12 tubes),20,$45.00,$900.00
,PAINT SUBTOTAL,,,,$3290.00
,,,,
BRUSHES,,,,
,Brush Sets (variety 10pc),75,$12.00,$900.00
,Detail Brush Sets,40,$8.00,$320.00
,Foam Brushes (100 pack),10,$15.00,$150.00
,BRUSH SUBTOTAL,,,,$1370.00
,,,,
DRAWING SUPPLIES,,,,
,Pencil Sets (12pc graphite),50,$8.00,$400.00
,Colored Pencil Sets (24),75,$12.00,$900.00
,Charcoal Sets,50,$10.00,$500.00
,Pastels (oil & soft),50,$18.00,$900.00
,Erasers (variety),200,$1.50,$300.00
,DRAWING SUBTOTAL,,,,$3000.00
,,,,
MARKERS & INK,,,,
,Marker Sets (washable 24),100,$8.00,$800.00
,Fine Point Markers (12),100,$6.00,$600.00
,India Ink (bottles),2,$8.00,$16.00
,MARKER SUBTOTAL,,,,$1416.00
,,,,
CLAY & POTTERY,,,,
,Clay (25lb bags),50,$12.50,$625.00
,Glazes (assorted pints),100,$12.00,$1200.00
,Pottery Tools Sets,10,$15.00,$150.00
,Underglazes (set),10,$35.00,$350.00
,Wire & Cutting Tools,10,$8.00,$80.00
,CLAY SUBTOTAL,,,,$2405.00
,,,,
MISCELLANEOUS,,,,
,Glue (bottles & sticks),200,$2.50,$500.00
,Scissors (classroom),100,$3.00,$300.00
,Rulers & Templates,150,$2.00,$300.00
,Aprons (child/adult),30,$8.00,$240.00
,Storage Containers,30,$5.00,$150.00
,Palettes (disposable 100pk),50,$10.00,$500.00
,Paper Towels (cases),25,$35.00,$875.00
,MISC SUBTOTAL,,,,$2865.00
,,,,
,GRAND TOTAL,,,,$17698.50
